location_id,location_name,latitude,longitude,name,AreaName,RegionName
5901,Aft Pasir Ris Dr 3,1.37466,103.94824,kml_16,PASIR RIS,EAST REGION
5902,Bef Pasir Ris Dr 3,1.374679,103.94803,kml_16,PASIR RIS,EAST REGION
5907,Citylife@ Tampines,1.360247,103.940636,kml_32,TAMPINES,EAST REGION
5908,Opp Citylife@ Tampines,1.360559,103.94051,kml_32,TAMPINES,EAST REGION
5909,Blk 918,1.340528,103.68697,kml_10,JURONG WEST,WEST REGION
5910,BEF XINGNAN PR SCH,1.3407161,103.68689,kml_10,JURONG WEST,WEST REGION
5911,Opp Blk 475B,1.375913,103.899635,kml_8,HOUGANG,NORTH-EAST REGION
5912,Mediacorp Campus,1.294981,103.79323,kml_24,QUEENSTOWN,CENTRAL REGION
5914,Opp Blk 259 CP,1.4045632,103.89496,kml_18,PUNGGOL,NORTH-EAST REGION
5928,Opp Northvale Condo,1.3874872,103.74619,kml_6,CHOA CHU KANG,WEST REGION
5931,Blk 816,1.4115372,103.83368,kml_55,YISHUN,NORTH REGION
5932,Blk 512A,1.4141293,103.84149,kml_55,YISHUN,NORTH REGION
5933,Opp Orchid Country Club,1.4155488,103.84464,kml_55,YISHUN,NORTH REGION
5934,Opp The Shaughnessy,1.4172554,103.84591,kml_55,YISHUN,NORTH REGION
5935,The Shaughnessy,1.4175503,103.84631,kml_55,YISHUN,NORTH REGION
5936,Orchid Country Club,1.4149903,103.84433,kml_55,YISHUN,NORTH REGION
5937,Opp Blk 512A,1.4141601,103.84215,kml_55,YISHUN,NORTH REGION
5938,Opp Blk 871,1.4125212,103.837944,kml_55,YISHUN,NORTH REGION
5939,Opp Blk 816,1.4111382,103.8335,kml_55,YISHUN,NORTH REGION
5940,Blk 259 CP,1.4045514,103.89497,kml_18,PUNGGOL,NORTH-EAST REGION
5949,Opp Blk 315B,1.4081777,103.89579,kml_18,PUNGGOL,NORTH-EAST REGION
5952,Blk 315B,1.4080408,103.89593,kml_18,PUNGGOL,NORTH-EAST REGION
5953,Blk 322 CP,1.41069,103.89759,kml_18,PUNGGOL,NORTH-EAST REGION
5954,Opp Blk 322 CP,1.4106095,103.89772,kml_18,PUNGGOL,NORTH-EAST REGION
5955,Blk 312 CP,1.409859,103.9013,kml_18,PUNGGOL,NORTH-EAST REGION
5956,Blk 310B,1.4098231,103.90098,kml_18,PUNGGOL,NORTH-EAST REGION
5959,Aft Punggol Dr,1.408195,103.90567,kml_18,PUNGGOL,NORTH-EAST REGION
5960,Bef Punggol Dr,1.4088652,103.90604,kml_18,PUNGGOL,NORTH-EAST REGION
5974,Aft Bt Panjang Stn,1.3778569,103.76232,kml_2,BUKIT PANJANG,WEST REGION
5975,Blk 184,1.3799895,103.76226,kml_2,BUKIT PANJANG,WEST REGION
5977,Beauty World Stn Exit A,1.3416032,103.775795,kml_3,BUKIT TIMAH,CENTRAL REGION
5979,Bet Blks 801B/801C,1.3755132,103.74219,kml_6,CHOA CHU KANG,WEST REGION
5981,APSN,1.3740901,103.7493,kml_6,CHOA CHU KANG,WEST REGION
5982,Opp APSN,1.3743229,103.7495,kml_6,CHOA CHU KANG,WEST REGION
5983,Blk 505C,1.4196569,103.84477,kml_55,YISHUN,NORTH REGION
5985,Woodlands Int,1.436874,103.78616,kml_54,WOODLANDS,NORTH REGION
5986,Woodlands Int,1.436874,103.78616,kml_54,WOODLANDS,NORTH REGION
5987,Woodlands Int,1.436874,103.78616,kml_54,WOODLANDS,NORTH REGION
5988,Woodlands Int,1.436874,103.78616,kml_54,WOODLANDS,NORTH REGION
5989,Woodlands Int,1.436874,103.78616,kml_54,WOODLANDS,NORTH REGION
5990,Woodlands Int,1.436874,103.78616,kml_54,WOODLANDS,NORTH REGION
5991,Woodlands Int,1.436874,103.78616,kml_54,WOODLANDS,NORTH REGION
5992,Woodlands Int,1.436874,103.78616,kml_54,WOODLANDS,NORTH REGION
5993,Woodlands Int,1.436874,103.78616,kml_54,WOODLANDS,NORTH REGION
5994,Aft Chestnut Ave,1.3682345,103.77559,kml_2,BUKIT PANJANG,WEST REGION
5995,Woodlands Int,1.436874,103.78616,kml_54,WOODLANDS,NORTH REGION
5996,Woodlands Int,1.436849,103.785736,kml_54,WOODLANDS,NORTH REGION
5997,Woodlands Int,1.436849,103.785736,kml_54,WOODLANDS,NORTH REGION
5999,Woodlands Int,1.436874,103.78616,kml_54,WOODLANDS,NORTH REGION
6000,Blk 810 CP,1.3741548,103.746796,kml_6,CHOA CHU KANG,WEST REGION
