origin_location_id,destination_location_id,section_of_day,mean_distance,count_trips,origin_code,destination_code,origin_lat,destination_lat,origin_lon,destination_lon
6843,2289,morning,2.8,12,22009,27131,1.3393234,1.34194,103.70546,103.68853
5030,4732,afternoon,3.2,11,92129,81069,1.306864,1.314729,103.90646,103.89069
4863,4867,morning,1.1,9,84031,84051,1.3242829,1.3252008,103.93004,103.9389
1658,1675,morning,1.7,15,17079,17171,1.3096831,1.314974,103.759995,103.76503
6803,3508,evening,2.8,11,55509,53379,1.3811324,1.3601867,103.84556,103.84386
4481,4513,evening,1.9,11,75089,75339,1.3497715,1.358463,103.934044,103.93415
6656,6096,evening,1.5,9,65331,67401,1.402865,1.3929085,103.89852,103.89532
4169,4133,morning,1.3,11,65019,64381,1.3815141,1.3728825,103.89749,103.8917
5068,5037,morning,3.9,11,93029,92161,1.3085146,1.3038,103.92471,103.89657
1345,1220,morning,4.9,9,11061,9048,1.3026577,1.3038669,103.801186,103.83413
4069,4300,evening,1.4,11,64021,67159,1.3778895,1.384368,103.89664,103.90226
3364,3415,morning,0.9,11,52059,52371,1.3430974,1.3399297,103.856224,103.856514
3417,3364,afternoon,0.5,11,52389,52059,1.3397261,1.3430974,103.858086,103.856224
5013,5435,evening,2.0,13,92041,92219,1.3032728,1.3063371,103.90583,103.91665
1886,2317,morning,1.6,25,21371,27351,1.3452272,1.344232,103.70618,103.69613
3510,3439,morning,1.7,11,53389,53009,1.3580447,1.3504554,103.84517,103.849884
2425,3102,morning,19.2,11,28529,46531,1.3511792,1.4324025,103.72065,103.77751
1270,1290,morning,1.3,9,10181,10291,1.288504,1.2921586,103.8211,103.81066
5408,2870,morning,1.42,15,44619,44259,1.3869507,1.3802956,103.76764,103.76297
3103,2424,afternoon,19.5,11,46539,28521,1.4320996,1.3509755,103.77822,103.7212
1922,1942,morning,1.73,10,21561,21661,1.3288932,1.3417656,103.72274,103.72141
6797,3509,evening,1.73,10,53009,53381,1.3504554,1.3583044,103.849884,103.84496
3315,6794,afternoon,3.0,12,50209,52009,1.3239279,1.3320209,103.851585,103.846924
6847,3316,morning,2.7,16,52009,50211,1.3320209,1.3230697,103.846924,103.85257
3076,3145,morning,0.9,2,46391,46771,1.4392177,1.440888,103.79299,103.800186
4299,4070,morning,1.2,15,67151,64029,1.383533,1.3778162,103.90215,103.89688
19,18,morning,1.2,15,19,18,1.385361693,1.334549778,103.744367,103.9615134
6809,4168,evening,2.0,12,64009,65011,1.3706069,1.3815969,103.89267,103.89721
4084,4140,morning,3.3,20,64119,64429,1.3767916,1.3748169,103.87714,103.89522
1217,1348,evening,4.5,9,9022,11079,1.3025284,1.3054414,103.8324,103.80185
5409,5893,morning,1.0,18,44691,44349,1.3882626,1.381333,103.77146,103.769325
6097,6657,morning,1.5,9,67409,65339,1.3923391,1.403133,103.896065,103.89804
101,119,morning,3.7,16,101,119,1.26547264,1.360179171,103.821446,103.8850503
4945,5586,afternoon,3.3,25,84569,84289,1.3279698,1.3266307,103.92011,103.94017
1922,1930,afternoon,1.11,13,21561,21601,1.3288932,1.3372703,103.72274,103.7211
4238,6816,morning,5.1,14,66301,66009,1.3693714,1.3504661,103.87208,103.87169
51,53,afternoon,1.1,11,51,53,1.415901719,1.405088585,103.9021353,103.8971904
2388,2416,evening,1.6,12,28321,28471,1.3412716,1.3481115,103.740906,103.73225
2997,2977,morning,1.2,26,45399,45269,1.3998408,1.3943617,103.749916,103.74373
4174,4178,afternoon,0.6,14,65041,65061,1.3898442,1.3949013,103.90162,103.90186
4966,4913,afternoon,4.4,10,85021,84369,1.3219031,1.329162,103.95468,103.92461
1754,1675,morning,2.6,12,19011,17171,1.3078164,1.314974,103.78423,103.76503
4892,4945,morning,3.4,15,84241,84569,1.3286139,1.3279698,103.94005,103.92011
119,101,morning,3.7,10,119,101,1.360179171,1.26547264,103.8850503,103.821446
5640,5633,evening,1.3,14,14351,14391,1.27275,1.27791,103.81036,103.808586
4730,4356,morning,1.7,9,81049,70011,1.3140756,1.3231769,103.88735,103.88116
101,119,evening,3.7,32,101,119,1.26547264,1.360179171,103.821446,103.8850503
1263,1266,morning,0.6,11,10141,10161,1.2858385,1.2859313,103.83238,103.82669
53,51,morning,1.1,12,53,51,1.405088585,1.415901719,103.8971904,103.9021353
2,6,morning,5.9,38,2,6,1.342352821,1.397535018,103.7326244,103.7474307
6479,1559,morning,1.05,15,14399,14359,1.2776366,1.2728906,103.808586,103.81035
4179,4306,morning,0.8,11,65069,67181,1.3950438,1.3910179,103.90237,103.89778
1210,1227,morning,2.2,8,8111,9159,1.2998693,1.3060263,103.840935,103.82568
1659,1784,morning,1.9,21,17091,20101,1.309048,1.3199371,103.771576,103.76222
3512,3491,morning,1.7,13,53399,53281,1.35464,1.3466564,103.847015,103.854324
5051,4723,morning,3.8,21,92241,80259,1.3017844,1.309895,103.900955,103.87989
2416,2389,morning,1.4,26,28471,28329,1.3481115,1.341471,103.73225,103.74043
119,101,evening,3.7,8,119,101,1.360179171,1.26547264,103.8850503,103.821446
4912,4969,morning,4.1,10,84361,85039,1.3293664,1.324425,103.92462,103.95299
4756,5033,afternoon,4.8,15,81201,92141,1.318693,1.3093954,103.883,103.91428
3480,3489,morning,1.0,13,53229,53271,1.3482231,1.3493462,103.84927,103.85391
2910,2907,evening,1.1,8,44621,44579,1.3792293,1.3785061,103.7371,103.743454
3524,3645,night,1.9,10,54031,55121,1.3700864,1.3794314,103.845345,103.8352
2419,6784,afternoon,2.7,1,28499,28009,1.3496305,1.33235,103.73046,103.74066
5034,4757,evening,4.6,14,92149,81209,1.3092806,1.3184361,103.914345,103.8843
2889,2876,morning,0.6,12,44399,44289,1.3830628,1.3814015,103.74851,103.7538
5066,5049,afternoon,1.3,13,93019,92231,1.3078761,1.304255,103.92112,103.91232
4161,4001,morning,2.9,13,64561,63069,1.37716,1.36638,103.88691,103.891945
1896,6203,afternoon,1.8,23,21429,22491,1.347402,1.336719,103.710594,103.705154
2875,2888,afternoon,0.7,12,44281,44391,1.3810492,1.3828897,103.75423,103.748314
4,5,evening,0.9,10,4,5,1.425177699,1.289562726,103.7621874,103.8168209
6095,6489,evening,2.3,10,67449,65151,1.3920329,1.3988565,103.893074,103.906624
1288,1433,morning,2.1,11,10281,11599,1.2915384,1.294208,103.81445,103.80315
1754,1673,morning,2.2,16,19011,17161,1.3078164,1.3124099,103.78423,103.76685
141,101,morning,1.8,100,141,101,1.334967302,1.26547264,103.9084393,103.821446
6790,3929,morning,3.5,9,52009,61009,1.3320209,1.3352116,103.846924,103.86663
6494,6098,morning,2.1,10,65159,67441,1.3985687,1.3923095,103.906654,103.89346
5,4,morning,0.9,11,5,4,1.289562726,1.425177699,103.8168209,103.7621874
24,23,afternoon,24.0,11,24,23,1.436875128,1.319505215,103.7864999,103.6605988
6767,1270,evening,1.4,12,10009,10181,1.2821015,1.288504,103.81722,103.8211
1895,1925,morning,3.9,11,21421,21579,1.3472031,1.3301347,103.71033,103.72318
4596,4635,afternoon,1.6,7,77031,77281,1.3711634,1.3783717,103.94838,103.93619
