origin_location_id,destination_location_id,section_of_day,mean_distance,count_trips,origin_code,destination_code,origin_lat,destination_lat,origin_lon,destination_lon,origin_area_code,origin_area_name,origin_region_name,origin_location_id_1,destination_area_code,destination_area_name,destination_region_name,destination_location_id_1
6737,4636,morning,7.8,6,65271,77289,1.3999554,1.3788975,103.910645,103.93597,kml_18,PUNGGOL,NORTH-EAST REGION,6737,kml_16,PASIR RIS,EAST REGION,4636
6592,6465,morning,2.1,12,44439,44481,1.3798373,1.381843,103.754295,103.74496,kml_6,CHOA CHU KANG,WEST REGION,6592,kml_6,CHOA CHU KANG,WEST REGION,6465
101,102,afternoon,1.7,6,101,102,1.3038231,1.3200744,103.8506826,103.8238083,kml_18,PUNGGOL,NORTH-EAST REGION,101,kml_27,SENGKANG,NORTH-EAST REGION,102
1672,1440,morning,1.6,9,17159,12049,1.3119756,1.3209113,103.76981,103.77656,kml_7,CLEMENTI,WEST REGION,1672,kml_3,BUKIT TIMAH,CENTRAL REGION,1440
3550,3545,evening,1.2,10,54229,54201,1.3696058,1.376085,103.839935,103.83928,kml_19,ANG MO KIO,NORTH-EAST REGION,3550,kml_19,ANG MO KIO,NORTH-EAST REGION,3545
102,101,morning,1.7,64,102,101,1.3200744,1.3038231,103.8238083,103.8506826,kml_27,SENGKANG,NORTH-EAST REGION,102,kml_18,PUNGGOL,NORTH-EAST REGION,101
1270,1421,morning,2.4,9,10181,11499,1.288504,1.2968506,103.8211,103.807884,kml_1,BUKIT MERAH,CENTRAL REGION,1270,kml_24,QUEENSTOWN,CENTRAL REGION,1421
4535,4951,afternoon,2.7,11,76139,84609,1.3516269,1.3379114,103.94385,103.931305,kml_32,TAMPINES,EAST REGION,4535,kml_20,BEDOK,EAST REGION,4951
3288,3292,afternoon,0.8,13,50021,50041,1.3173534,1.3236233,103.844215,103.84161,kml_15,NOVENA,CENTRAL REGION,3288,kml_15,NOVENA,CENTRAL REGION,3292
5824,3835,morning,1.3,6,59009,59209,1.4284,1.4385661,103.8361,103.84021,kml_55,YISHUN,NORTH REGION,5824,kml_55,YISHUN,NORTH REGION,3835
3293,3289,morning,0.9,11,50049,50029,1.323541,1.3164794,103.841896,103.84484,kml_15,NOVENA,CENTRAL REGION,3293,kml_15,NOVENA,CENTRAL REGION,3289
